9,E,X,X,X,X,X,X,X,X,X,E
10,B,B,B,B,B,B,B,B,B,B,B
11,D,X,D,D,D,D,D,D,D,D,D
12,B,B,B,B,B,B,B,B,B,B,B
13,E,D,D,D,D,D,D,D,D,D,D
14,C,C,C,C,C,C,C,C,C,C,C
15,C,C,C,C,C,C,C,C,C,C,C
16,B,C,C,X,C,C,X,C,E,E,C
17,C,C,C,C,C,C,C,C,C,C,C
18,E,E,X,A,X,X,E,E,E,X,E
19,D,D,D,D,D,D,D,D,D,D,D
20,A,A,A,A,A,A,A,A,A,A,A
21,E,C,C,C,D,C,C,C,D,C,C
22,A,A,A,A,A,A,A,A,A,A,A
23,C,C,C,C,X,C,C,C,C,C,C
24,E,A,E,E,E,D,E,E,E,E,E
25,B,E,B,E,B,E,E,E,E,B,E
26,A,E,E,A,A,A,A,A,A,A,E
27,D,D,D,D,D,D,D,D,D,D,D
28,B,E,B,B,B,B,B,B,B,B,B
30,E,E,E,E,E,E,E,E,E,E,E
31,E,E,E,E,E,E,E,E,E,E,E
32,A,X,A,A,A,A,X,A,A,A,A
34,C,C,C,C,C,C,C,C,C,C,C
35,D,D,D,D,D,D,D,D,D,D,D