9,E,E,D,D,D,D,D,D,D,D,D
10,B,B,B,B,B,B,B,B,B,B,B
11,D,E,D,A,E,A,E,D,E,E,E
12,B,C,E,D,D,D,E,D,E,E,E
13,E,D,D,D,D,D,D,D,D,D,D
14,C,C,B,B,B,B,C,C,C,C,C
15,C,C,C,C,C,C,C,C,C,C,C
16,B,D,C,A,E,A,E,C,C,E,E
17,C,A,A,C,A,A,C,C,C,C,A
18,E,E,E,E,C,E,E,E,E,E,E
19,D,E,X,E,E,E,E,E,E,E,E
20,A,A,A,D,A,B,A,C,C,C,C
21,E,C,C,C,C,C,C,C,C,C,C
22,A,A,A,A,A,A,A,A,A,A,A
23,C,E,X,E,X,E,X,E,E,E,E
24,E,A,E,A,D,A,E,A,A,C,A
25,B,E,E,E,E,E,E,E,E,E,E
26,A,A,E,E,E,E,E,E,E,E,E
27,D,C,D,B,D,B,D,D,D,D,D
28,B,E,E,E,E,E,E,E,E,E,E
30,E,E,E,E,E,A,E,E,E,E,E
31,E,E,B,E,B,E,E,E,E,E,E
32,A,D,D,D,D,D,D,D,D,D,A
34,C,D,C,C,E,D,E,C,C,C,C
35,D,D,D,D,X,D,D,D,E,E,E